"pred","predicted","customer_id","est_income","hold_bal","pref_cust_prob","imp_cscore","RiskScore","card_offer","demographic_slice_AX03efs","demographic_slice_CARDIF2","country_reg_W","ad_exp_N"
"No",0,713782,33407.9017494479,3,0.531112279582307,619,503.249027297784,"0",1,0,1,1
"No",0,515901,19927.5335325969,20.2579267986397,0.297438730118974,527,820.108146405516,"0",1,0,0,1
"No",0,95166,51222.4709966965,4,0.0184630751771727,606,586.605794513122,"0",1,0,1,0
"No",0,425557,67211.5874665701,18.6536307880089,0.0893436586108556,585,634.701982443681,"0",1,0,0,0
"No",0,624581,20093.342157704,4,0.0949475339321058,567,631.94997899162,"0",1,0,1,1
"Yes",1,721691,73896.0961289361,12.9066407744287,0.656847516528082,560,809.333963241562,"1",1,0,0,1
"No",0,269858,73609.4041346291,3,0.13781812943928,620,697.308163273657,"0",1,0,1,1
"No",0,219196,57619.6685816555,9,0.367879384766555,658,668.075471650386,"0",1,0,1,1
"No",0,413020,49282.6202985984,0,0.182079430575071,519,656.111590634192,"0",1,0,1,0
"No",0,174424,57173.0613916527,6,0.288241891628413,645,547.767117158974,"0",1,0,1,1
"No",0,664695,1216.41437571331,31.2984680191367,0.654588186787208,675,461.078568059054,"0",1,0,0,0
"No",0,498530,60261.1779832187,9,0.194342087545695,519,792.416229550393,"0",1,0,1,1
"No",0,722754,27898.7994225891,24.9054444836694,0.230919010182539,502,634.635788952459,"0",1,0,0,0
"Yes",1,48861,72547.1423577969,2,1.02335090803499,602,615.330090162922,"1",1,0,1,0
"No",0,317115,59967.2221979458,20.4209414846277,0.679141873199957,636,658.290617999047,"1",1,0,0,0
"No",0,791715,76087.3731796871,23.1170416526817,0.087857362085641,616,779.514205145286,"0",1,0,0,0
"No",0,422599,37578.9243266724,0,0.136464763189788,674,698.184426010894,"0",1,0,1,0
"No",0,388632,51635.8841600754,14.8238917408219,0.300890986473149,610,721.803129219868,"0",1,0,0,1
"No",0,208452,52403.1723997787,21.2411716292529,0.487401676776263,578,562.416660027293,"0",1,0,0,1
"No",0,885697,59828.4948498075,12.5126136902164,0.227978281608546,571,790.733261581633,"0",1,0,0,1
"No",0,77411,49041.7848567759,19.9687264258674,0.133177996507825,539,526.721687280442,"0",1,0,0,1
"No",0,561311,27192.5904869481,2,0.0972448198380402,639,765.364037452908,"0",1,0,1,1
"No",0,248942,686.671107331051,26.3593675879198,0.563717199862115,508,704.535958321587,"0",1,0,0,1
"No",0,377252,25136.7332234741,15.6475886619002,0.41584087279083,520,746.024918468501,"0",1,0,0,1
"No",0,822873,25689.8705664553,23.8246687418308,0.16489714610035,539,649.783554136875,"0",1,0,0,0
"No",0,936503,18971.0798800403,12.4395473355489,0.864700099004875,541,710.603249473843,"0",1,0,0,1
"No",0,309814,23650.339784703,16.4252834552014,0.274740774530206,532,707.209275897447,"0",1,0,0,1
"No",0,258560,21090.8118139427,25.7616340701111,0.59764015083608,692,636.070343893058,"0",1,0,0,1
"No",0,79638,52850.8446032894,3,0.509505134417792,510,584.441168768627,"0",1,0,1,0
"No",0,778438,68383.4300857963,17.2484532880959,0.524178742764593,524,478.225484604356,"0",1,0,0,1
"No",0,328732,10481.238839384,5,0.396054604936253,564,694.970316841563,"0",1,0,1,0
"No",0,962546,43872.1519351596,23.0019401221479,0.129967737154397,522,724.016129808298,"0",1,0,0,0
"No",0,446969,55360.355297567,21.2730517009573,0.309850896626907,513,556.837473791723,"0",1,0,0,0
"No",0,597495,36014.5605128122,17.8585967351532,0.0916023412692092,503,668.119855975869,"0",1,0,0,1
"Yes",1,407939,72032.966301642,27.7744218555356,0.741662512718433,661,819.877813102578,"1",1,0,0,0
"No",0,957272,58188.2434440702,17.4888370919753,0.297434575439601,517,480.737872121457,"0",1,0,0,0
"No",0,182729,83992.3159201463,2,0.425544431112514,671,763.787930684099,"0",1,0,1,1
"No",0,243800,60337.0906335133,9,0.245371428989705,541,643.213605140108,"0",1,0,1,1
"No",0,966690,40794.2918378377,23.9272221138302,0.210272534329976,543,660.989840720245,"0",1,0,0,0
"No",0,536841,12249.1821091504,23.3821612639238,0.401064815315084,515,791.302035409842,"0",1,0,0,1
"No",0,642805,53307.524761515,2,0.162086214072658,513,705.304768946567,"0",1,0,1,1
"No",0,134186,7286.29579650012,22.6612257515782,0.303973094976412,628,582.859416478678,"0",1,0,0,0
"No",0,69635,49302.2894956707,5,0.722531248769839,562,579.973162843221,"0",1,0,1,0
"No",0,12604,3400.78281844182,23.1338576055032,0.440712656158492,665,775.559876722055,"0",1,0,0,0
"No",0,259692,82.3752034429781,2,0.187588959618392,570,558.819622473981,"0",1,0,1,1
"No",0,936371,18300.265535303,23.6602357718028,0.373082095121253,689,765.225286409427,"0",1,0,0,0
"No",0,47021,71675.0772007256,8,0.131544083343991,675,751.708820042196,"0",1,0,1,0
"No",0,834551,38174.1062309113,12,0.210163453443898,516,654.552888078969,"0",1,0,1,0
"No",0,958354,15248.333603402,0,0.118342451328165,590,644.950094177684,"0",1,0,1,0
"No",0,500999,17736.5720119247,4,0.0996982096330163,681,682.023742505315,"0",1,0,1,1
"No",0,203874,20042.595782948,8,0.688407140019524,579,729.002457086616,"0",1,0,1,0
"No",0,915660,50843.0082812374,8,0.592893341923909,578,664.371606978586,"0",1,0,1,1
"No",0,815026,54152.6276398449,2,0.2033127378735,685,637.56189356835,"0",1,0,1,1
"No",0,958298,47121.7177849078,3,0.518982205111225,600,539.258417761034,"0",1,0,1,1
"No",0,394568,32115.5924795152,10,0.187800760118444,539,526.305386222141,"0",1,0,1,1
"No",0,399206,69048.2143735566,18.7694209160243,0.349630605553845,598,637.828707533906,"0",1,0,0,1
"No",0,794374,58379.9674361246,20.4588291018467,0.126907639974192,559,730.134963495911,"0",1,0,0,0
"No",0,376141,16406.3765774385,1,0.306025849883633,531,851.780340216303,"0",1,0,1,1
"No",0,198465,50045.9278616094,4,0.203839946043719,682,625.978396851997,"0",1,0,1,0
"No",0,407430,75691.7133521262,21.671576871515,0.375486109614083,695,652.768817210131,"0",1,0,0,1
"No",0,45821,71507.3506220978,21.4151894561729,0.527694071501945,651,749.225919744869,"1",1,0,0,0
"Yes",1,437780,40306.227731255,16.6849780093121,0.924229726076929,557,773.262476866155,"1",1,0,0,0
"No",0,976881,59202.5421803061,9,0.217474373769916,653,491.06835456445,"0",1,0,1,1
"No",0,464290,24873.3408582133,24.9548309393282,0.276702099164987,566,832.521749582945,"0",1,0,0,1
"No",0,282866,42947.5956939179,1,0.564375912532833,692,604.071628135019,"0",1,0,1,0
"No",0,397002,56079.8843653223,0,0.417839799163328,606,594.372713003714,"0",1,0,1,0
"No",0,832190,22112.2888028852,10,0.224489763130975,606,652.773233910295,"0",1,0,1,0
"No",0,42056,40112.273789781,10,0.206268776133626,563,670.759546353822,"0",1,0,1,1
"No",0,2536,43394.6670536543,13.5050663905437,0.087359424076033,603,650.849427586782,"0",1,0,0,0
"No",0,70995,90470.5086616748,21.447608887783,0.453516806458449,663,805.534234106075,"1",1,0,0,1
"No",0,801487,102999.104593384,20.4650771838046,0.310928904456849,608,728.897432193328,"0",1,0,0,0
"No",0,19164,14841.7815623585,12,0.545887450062628,681,663.264538963663,"0",1,0,1,0
"No",0,241163,4987.62315880759,28.6804980941945,0.289627915024197,666,566.096758550647,"0",1,0,0,0
"No",0,551000,18610.0148574263,6,0.115485597025969,502,706.388450641182,"0",1,0,1,1
"No",0,49774,89389.3655890744,8,0.512308726559543,527,647.287275275603,"0",1,0,1,1
"No",0,499475,22221.2569774217,21.7643926678776,0.451847108586106,590,648.92909490327,"0",1,0,0,0
